RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1880.5504363093046,1894.2343881610113,1907.254113937469,1919.3731614624767,1936.8557505204526,1951.063861556325,1965.4329750159316,1972.5292204295174,1980.6633302489952,1984.5715362471894,1994.1647931601494,2007.9827725567707,2026.7267174068663,2036.699617517739,2046.9829244408224,2056.876763968804,2070.845813692678,2081.6185474465087,2089.3241788960045,2094.57825085944,2094.9013022172985,2099.2513023506694,2108.994646353033,2124.4162717183644,2140.872932236957,2156.5605327479634,2172.13862634137,2182.1056360253865,2194.9853790848724,2203.210769599098,2212.5326234608515,2214.893927009775,2218.0587990627537,2219.997496273568,2225.9197435359547,2234.3725032198404,2246.902672548503,2258.94685373943,2272.309894276946,2286.250237131374,2299.0579503974723,2311.9874248598426,2319.6621617266037,2324.379791122294,2327.1056140027817,2331.589476135727,2339.0026558891614,2345.967722111614,2354.6434760227307,2364.4029811781975,2374.5680501090037,2386.7264401919447,2396.072997702377,2405.8872838857637,2411.0035090831766,2413.7518565907103,2413.2178016174344,2415.6171513694876,2420.144554594898,2426.594819959866,2428.822668880224,2416.6266394861345,2398.7729453946217,2385.469382025835,2384.97945719475,2382.807326026725,2378.9909728096527,2375.872569435116,2380.5417077274874,2379.5269971987937,2376.560153140829,2377.185251259621,2387.387128213201,2405.730987963267,2430.4295351739624,2462.995921429019,2502.191597892381,2549.8314415015193,2588.1675982331785,2618.731386812765,2631.660852605374,2651.1462508159234,2670.113779678007,2697.67507028857,2725.042720220319,2757.0760358395924,2788.922842571417,2810.0660170397664,2828.2907746730207,2842.8158397510538,2856.6441153564824,2856.5678066382725,2850.674369361604,2845.148387901944
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1465.13567461546,1479.599597877039,1492.2357247398731,1519.5066693206625,1526.7040782881074,1533.9437161183973,1532.1639878061615,1523.9931375373317,1511.7067409801396,1505.8843683980072,1510.7406806784854,1522.3753126077017,1535.1277623215972,1546.0083965658264,1556.9550328105333,1567.1039276967501,1574.857986036407,1575.9131222007356,1569.0455002677347,1555.9710835473504,1542.8396353797043,1535.9736578097086,1537.4025214528992,1551.7824329126136,1568.7001819447607,1586.6437086674027,1597.4359552194028,1605.2463300526854,1609.818770600124,1608.1216034377856,1600.4496169150902,1588.2751952215679,1576.7881375922632,1572.0351096368067,1576.0379584108737,1585.2675642488734,1598.2692758237754,1609.1563436376812,1621.8028093719947,1632.9014984108146,1639.9300029331134,1639.2978721636518,1631.613838057321,1618.608727503765,1609.1092659486073,1602.1634141662817,1607.1204075200567,1615.9371642905592,1631.1344130382265,1646.882214806999,1661.2189650266325,1673.0243506169527,1679.5590217616102,1680.8302365138597,1677.4118006514102,1669.490611997259,1658.1696107580228,1650.4015637176835,1653.4605974281499,1664.7860550244022,1679.0358429758178,1681.4913770762612,1680.5655228040473,1675.0977539903115,1673.0665061659379,1663.7437652313192,1645.2060933549853,1619.3182765183446,1596.0273023672596,1582.9333733448568,1579.731473881577,1585.189516468068,1604.2527293964179,1635.5261511316116,1673.6888257685973,1704.77832444074,1725.81251077096,1741.1049044105048,1745.4712959293781,1745.7319161864652,1742.808724186582,1750.210268573117,1764.694005631908,1782.2737183195197,1804.0618246763893,1826.3044136580352,1852.5988193941935,1872.6847034693885,1891.5767110974589,1898.1172263299866,1898.7504497436182,1896.2564379293228,1890.5016943532814,1893.5269418623564
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1288.9794064205782,1297.3052228962852,1307.6194278180676,1317.055833961723,1321.6296009679663,1324.689247408296,1322.7942056190413,1318.5543649437557,1315.3472911953997,1313.5159058367026,1314.9070233334642,1318.8574790479793,1327.1923973432972,1331.0292996834494,1330.229285044416,1327.5859189336918,1327.4041890960716,1324.512226621526,1319.4994551148773,1316.5429517200353,1311.74512229307,1308.1501488419442,1302.7081030073634,1306.9669861221003,1314.8647274237496,1322.0947836176854,1328.6979747817252,1330.6480896681926,1332.499959884002,1331.4940577309883,1333.5248755799303,1343.540389841857,1353.5319397919013,1361.2984514143625,1361.7577500925577,1363.770004009957,1367.550442506733,1375.3719978957233,1380.1982538983775,1385.282554645351,1389.0831815167928,1390.0403866814502,1387.5135598597737,1383.9918987732701,1385.9356702057107,1384.9920883480002,1383.2090244762117,1379.886444804573,1383.9265459750739,1389.1338803987107,1398.2268158428617,1405.674519060749,1412.7041323054352,1413.700958714475,1410.9224992099566,1408.0566905235796,1405.6909138913966,1408.6487155916748,1410.5366902093344,1413.9820392452236,1417.2605251564946,1411.7427241542418,1403.1045943803726,1394.3466616675403,1393.8122176060933,1395.901931427387,1396.2295501471956,1399.5927257347507,1402.8300300950477,1404.0611649093241,1402.2741478808755,1401.009036082451,1406.865129145148,1421.6933545804015,1448.2325061473778,1480.1976516116094,1510.050688527789,1536.1633186867537,1547.6246429261516,1557.2904106414778,1559.1659671830878,1567.6457681200163,1570.5226110540816,1579.4593738262772,1588.0945671763263,1600.7800882825215,1613.9361270938327,1628.3636522224215,1641.3276588634756,1650.2463160897064,1648.8861497422422,1644.370801466888,1636.1734768796782,1629.9879160058647
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,1001.4406574558884,1014.1374957453332,1017.3540303128178,1026.1931242075004,1027.7590214997797,1030.745551736018,1034.2413376849213,1036.5860468584879,1038.8923463313527,1040.302736634766,1046.144640576817,1052.9982543383308,1061.7969908303578,1069.1000471043722,1076.9993858780647,1082.4405498649205,1086.9285849916587,1088.7076652077092,1089.374773088088,1090.1866624785741,1091.316495957989,1093.17447746242,1097.8480325505018,1105.6999511757078,1115.8799262381594,1125.4478952271982,1134.7801638840033,1142.4922948362382,1149.3613664162285,1153.3014045756636,1154.4223225914736,1155.8914236122,1156.9583523832264,1158.8809609417835,1162.576590906312,1167.521281498649,1180.7810823561458,1195.1276051569346,1209.6052094017957,1217.2213876203816,1223.919833803324,1230.990096345534,1236.8605775931044,1242.475804955451,1247.2599005717238,1253.1216097187043,1255.9345059266368,1264.66893535926,1275.3299528702694,1291.4663708429548,1304.037819515134,1316.3236200089063,1324.9628484152881,1333.075465594733,1335.3251094728423,1339.3648430706307,1342.1055314661235,1354.6905638358835,1363.747394984226,1377.0112440299745,1381.2693874555237,1379.1880813916066,1373.7071577884815,1375.0309502804105,1387.6030707569398,1404.5462402941962,1422.0787589728056,1438.2059751712827,1454.3124378834407,1464.9668306324133,1478.9143202094094,1489.5292679699344,1514.7719423895244,1547.0222455772484,1596.8501303922083,1648.7064923151001,1706.653912577258,1757.0995815558435,1795.6641615981725,1819.6018424823133,1836.642700193461,1849.2995998980928,1858.619329514022,1867.736222509703,1883.3587337885021,1899.4477074224742,1914.0154006340906,1920.9151881065584,1925.1605956112214,1921.7579186066491,1915.0641931814487,1904.3319809290676,1891.6546529509383,1880.2561336151582
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1794.8171703567746,1807.1141721511358,1813.5378425163142,1822.792992477324,1832.7326606388433,1844.9272131276493,1854.398910729791,1857.1246794925075,1861.5222735387938,1864.8660514291548,1872.6876724567878,1879.9359884121163,1895.234785521128,1909.048624636555,1925.7824928344494,1938.069792745469,1944.2315436502033,1948.4743235364376,1951.5102817537947,1958.6066752894,1959.2632318661592,1955.8188874742975,1958.2694833580533,1973.2650104824888,1991.3648691443084,2010.5504001976326,2026.511472293189,2042.7145071885755,2055.7350281482813,2063.2013158075033,2065.620284850625,2067.3606241919656,2061.164794150609,2061.597639340061,2067.39175241657,2082.5581082119966,2098.0670261233804,2111.8643467113443,2128.1214612441136,2143.855732940043,2156.545802751722,2167.7394244331035,2173.9594250893056,2174.7901106038207,2172.216879240381,2167.286193910647,2168.32548165891,2170.93822228967,2180.2288026864817,2193.299624319031,2207.0387413493095,2219.8727946413023,2230.848741331373,2240.724413287544,2246.7290751778846,2251.877198215393,2249.3841553835946,2247.3082862072188,2247.4492706161263,2255.22971109159,2263.0741713404436,2252.185380330894,2241.1988070421344,2237.9185858911237,2252.6763144614697,2265.273073274405,2276.918240802067,2290.0912323599855,2306.16231710811,2318.1666599853443,2325.4059327267946,2332.6538229682096,2350.182376663493,2384.6385554901117,2429.4301810411525,2477.7264305836984,2529.226447993624,2589.581861103954,2647.2376595342644,2690.7254997380546,2718.9451998254717,2736.8310561850326,2744.0964664791345,2767.4274222185436,2806.473994494386,2866.3076557662775,2913.3393590111623,2958.8830876830507,2995.002606904949,3030.707526011215,3039.75560823677,3036.717624491142,3009.1317727489513,2990.9599079290874
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1999.3346109011393,2011.7695147409418,2026.6306338079892,2036.1794459375355,2047.3748289682094,2058.9129735347406,2065.781994849935,2066.76050481464,2068.8381660218192,2073.987215728227,2083.292744906098,2089.354198392822,2094.8724677138357,2101.8204406913196,2115.6089215688057,2132.3801378959665,2147.655417938804,2149.6483183186556,2155.358348787459,2153.973959357984,2159.801243482092,2154.0645035001617,2157.783135463726,2165.4421889249047,2180.70581005712,2196.1545996374916,2208.203237815906,2219.586039287253,2230.078850222872,2235.610392965049,2239.1220579989517,2237.594817532728,2238.0189629515585,2237.7309607548696,2242.9981576099526,2249.100678555058,2256.9630853927924,2265.5246161869077,2272.646518473365,2282.0189141447363,2286.89050887541,2291.9500982421805,2294.005555605937,2299.285493416001,2305.8747229756545,2311.345094013166,2311.7310087055953,2311.0088362139213,2313.54988713202,2323.74946048975,2335.598783780005,2350.8178864003125,2360.614484790036,2368.817998055183,2373.8023791903615,2375.4745988774116,2378.0470877417692,2380.33152704318,2388.2661382196043,2394.308964890129,2397.3523760543376,2378.1112825211635,2357.883008351188,2340.990314395923,2347.2707806489925,2356.3054886581454,2371.4624272995484,2386.6895452841613,2399.9921332536646,2409.861429305819,2424.715874734883,2440.214400374785,2465.140807894713,2489.3101372759384,2524.4635930601316,2574.011824801813,2650.248423928655,2748.8070957632485,2833.744801390334,2888.7365198806297,2915.7929399794657,2928.5145814475477,2941.41316632936,2959.146439250648,2990.3270361510963,3019.354540218601,3048.6389588253205,3073.9461544822243,3100.014346098033,3111.113911632982,3106.3801207516844,3091.453597084757,3078.0827813945193,3062.1026570436657
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1755.558402816085,1763.3279065079248,1775.6276780614346,1784.6679529886612,1793.1495702377101,1797.753751906681,1800.6812954164063,1813.0998481886147,1820.8933010516594,1828.0806919991196,1831.3316509523183,1839.2164392159955,1845.6221113847398,1844.0345768778566,1841.456611221165,1838.4439242916376,1841.7333475347396,1839.5760637239534,1836.4602940131554,1831.7018758608879,1827.8721137549564,1825.307911896299,1829.3956983103371,1834.7765044687917,1844.1527171406315,1845.2822166873405,1847.4449926834232,1849.419314610828,1851.8043089014957,1855.2816860898918,1855.176732008724,1859.9284381864588,1861.2818808430259,1864.3266580278164,1866.244266113699,1868.5360848515336,1874.0315152152268,1877.1661014831768,1881.3014489325449,1885.722594794482,1889.3421105071816,1896.6891825379616,1900.1374705103494,1907.9205933973894,1908.1551363556164,1912.098966892826,1911.7347924942997,1914.165514381005,1918.8716057436868,1923.2795039621342,1926.8281059378678,1928.3622967688582,1928.2290150760293,1933.600544706931,1935.491234536506,1944.8202742573737,1951.272076552448,1958.711272364228,1964.4467580222413,1968.443204804407,1971.9778309667795,1962.9800510048578,1953.0577739794185,1941.4028883361113,1943.8208096819637,1945.6029555992357,1947.027808491908,1946.0180691109051,1953.104300303978,1968.1786426152914,1992.32399025894,2020.116285259527,2057.8732170694157,2103.596518459356,2159.0124921758043,,,2363.551535684529,2430.013881914165,2481.0152655843654,2531.8376902937994,2592.329628189601,2644.2826325537567,2713.835815525573,2776.9019376102488,2853.922690750163,2919.8179037928735,2954.597640292181,2979.6887776283575,2974.9369335286106,2987.6238185864936,2980.1456676048265,2975.5598040535074,2967.8875102175193
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1168.616056310367,1178.5651068832337,1193.0723986857806,1202.8457652750733,1211.7202476670454,1217.1953517746142,1219.5080166746225,1216.421773141358,1217.457944267041,1217.7357430098664,1226.3758231575812,1232.7125928809405,1246.6321744580762,1254.2357995511998,1262.8688523002104,1269.819444168598,1274.2751227118126,1276.6659003023608,1273.490625160383,1275.7413218816514,1282.3585622131616,1289.7550798991608,1292.3721043773085,1291.9589336117608,1299.8682098702554,1307.6530914072716,1319.8934224497734,1326.2371650025075,1335.3142254450654,1338.900639054135,1338.4978706890531,1338.8928108892826,1336.932661062333,1338.9055177773414,1339.9155003817646,1348.6336837904244,1353.0099949190428,1359.400426213507,1357.58031367584,1364.200669557991,1369.6525488629331,1380.6001532104594,1379.9128785022062,1381.41538478562,1383.3834788447693,1386.0753854926622,1387.5276410524389,1389.7763811356017,1395.612012106822,1404.8202428202048,1411.3291519413567,1425.8128858437574,1431.9891427557463,1434.2870351088063,1433.0746902953367,1432.261555428938,1429.7538116655576,1424.2487859962202,1422.909779812324,1427.9463805123873,1433.5512957769718,1431.665912817823,1426.618450675649,1423.4082043367464,1423.347648259647,1421.8679335656439,1419.3495882717639,1423.2875861166704,1428.1527380840525,1433.7435867977617,1435.374558174176,1444.8084571153952,1457.6676438589645,1480.7821903267716,1508.5516676188508,1547.0752121298965,1587.2628003748796,1623.8885817574442,1649.6182265761474,1660.885000838811,1670.1534628440504,1675.2032833694352,1687.2799766801343,1702.8792820424535,1716.3585720554884,1739.9655990817048,1768.6684410420398,1810.01070572663,1840.1998565779181,1851.3162840630926,1849.4882897852444,1832.2629259223024,1812.6764267302613,1793.9578900496715
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2344.054217352274,2361.75151207451,2386.3608030229016,2409.8713745531413,2426.6817335704027,2440.82900088174,2455.938010529779,2468.8973747910904,2467.514946925927,2454.1423799872123,2443.3352378526642,2438.0192224031616,2446.7920423357873,2449.1799498604273,2458.539086236826,2473.1958819570204,2492.3501441888675,2508.238106586398,2514.0269388581564,2509.383799699898,2509.0194846307063,2496.4783702761197,2493.316442100192,2479.1388199904845,2484.0371089634655,2491.511438619726,2506.0482886475324,2516.7740031367284,2532.2018965130337,2545.3499759705546,2549.9838841542996,2538.6222671980713,2525.093458250535,2514.643291978222,2512.182536383257,2508.3083884761427,2517.798318617092,2530.802934142396,2552.070434127235,2564.873677143189,2574.318218869614,2582.8530111271302,2586.658255870789,2581.6592395286334,2569.2896317041204,2550.3697769150626,2544.8658818555423,2555.07335152496,2580.0828401519234,2600.2008767696384,2623.6048043763967,2638.5074826435784,2662.564751300905,2677.7509197696863,2691.670792938492,2690.40622539597,2675.0529646869372,2667.446518795329,2669.0127598645718,2685.516848660154,2703.557779705997,2704.6660422977457,2689.4277367681693,2658.3095382414103,2632.0387659908256,2597.730425930248,2554.1623009730006,2506.1209160316944,2473.609269689447,2451.0563649658807,2446.8417913820253,2449.6595403632964,2468.930371566351,2499.4103210285534,2536.3608788370907,2582.473159140822,2634.8212724057767,2689.2727088367124,2738.9296963071083,2762.583991656741,2776.456027117464,2781.186803631333,2805.3968007862354,2849.042078061584,2903.8508376069544,2960.6569872327764,3024.579243775412,3089.943993336634,3153.664839807298,3190.8982470778656,3198.865669546101,3184.75839949205,3144.794483340473,3114.331222177379
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1458.5624470889506,1467.1867289357779,1472.7210590949408,1476.4785146070153,1484.356274425305,1492.2856096853313,1503.1511415222608,1507.442969762505,1515.751352639862,1517.2781085923755,1521.0924762532475,1524.1351723947848,1530.2133716305307,1532.1216306611127,1537.2044183428245,1546.367361950447,1558.3085314094326,1562.5257691628583,1570.8884529697925,1573.7693274069666,1582.061812086727,1579.3171260530598,1593.1875587206416,1598.4416362529807,1614.229787377896,1625.6688496847617,1641.9275506481433,1650.9146720539056,1655.8481044726732,1663.6162626236408,1673.668566497785,1680.992795452698,1686.1971234870696,1682.8486406278528,1690.2735287806363,1697.5884860434817,1710.4684430482475,1715.9570718373332,1718.6320994416628,1728.584647916694,1738.336299596299,1751.279309136055,1761.6087044378003,1773.8850479738533,1780.3737750510502,1785.9762707513378,1785.0083051697775,1787.8937509648135,1793.0532878118813,1802.329280511751,1811.0044467848127,1817.4782369179434,1825.8272963116651,1837.1853888673288,1846.453055454896,1853.807514917349,1855.3509939021694,1860.211212187372,1862.502608157929,1870.3660214910137,1874.2056531097423,1869.3912517955928,1861.2248313466484,1864.7302978812318,1884.345605088511,1918.281628164984,1948.9591051531713,1981.3283401371505,2012.0046938524406,2031.6077616521397,2042.1480708104143,2058.783531525355,2089.9544610567605,2135.280502723744,2170.8486223864365,2215.898166981315,2264.5516193310377,2326.0979172669877,2376.6900204984267,2406.495114250745,2431.707518555686,2430.636788790112,2453.448177465619,2458.0208338588263,2501.9398718407306,2526.5634165263023,2553.1980791827905,2565.4387831123136,2581.9585717739164,2592.5483212922495,2597.565705547893,2585.6471219704026,2581.0624235644827,2560.455464275399
